month,source,compound_mean,pos_mean,neg_mean,neu_mean,post_count
2015-09-01,comments,0.7184,0.5,0.0,0.5,1
2015-09-01,posts,0.0,0.0,0.0,1.0,1
2015-10-01,posts,0.0,0.0,0.0,1.0,1
2015-11-01,posts,0.9732,0.173,0.0,0.827,1
2016-01-01,posts,0.5719,0.316,0.0,0.684,1
2016-02-01,posts,0.9778,0.182,0.0,0.818,1
2016-03-01,posts,0.23445,0.02175,0.00225,0.976,4
2016-04-01,posts,0.3839,0.09675,0.06025,0.843,4
2016-05-01,comments,0.319225,0.11875,0.18575,0.6955,4
2016-05-01,posts,0.21904444444444446,0.059777777777777784,0.04666666666666667,0.8935555555555555,9
2016-06-01,posts,-0.1045909090909091,0.05272727272727273,0.08372727272727273,0.8634545454545454,11
2016-07-01,posts,0.6515166666666666,0.12766666666666668,0.010166666666666666,0.8621666666666666,6
2016-08-01,comments,0.34,0.169,0.081,0.75,1
2016-08-01,posts,0.20627500000000004,0.08349999999999999,0.053875000000000006,0.8625,8
2016-09-01,comments,0.10646666666666667,0.09333333333333332,0.08166666666666667,0.8250000000000001,3
2016-09-01,posts,0.2855333333333333,0.048666666666666664,0.049,0.9021111111111111,9
2016-10-01,posts,0.4613833333333333,0.19933333333333333,0.041166666666666664,0.7595000000000001,6
2016-11-01,comments,-0.4774,0.016,0.055,0.929,1
2016-11-01,posts,0.5690999999999999,0.06575,0.01025,0.9239999999999999,4
2016-12-01,comments,0.6160666666666667,0.1456666666666667,0.044000000000000004,0.8106666666666666,3
2016-12-01,posts,0.73914,0.1306,0.0073999999999999995,0.8618,5
2017-01-01,comments,0.0,0.0,0.0,1.0,1
2017-01-01,posts,-0.03600000000000002,0.04428571428571428,0.0752142857142857,0.8803571428571428,14
2017-02-01,comments,-0.02,0.12350000000000001,0.04650000000000001,0.83,6
2017-02-01,posts,-0.011149999999999985,0.10939999999999998,0.0901,0.8004999999999999,10
2017-03-01,comments,0.14206249999999995,0.09887499999999999,0.062625,0.8384999999999999,8
2017-03-01,posts,-0.06902413793103448,0.04093103448275862,0.08613793103448276,0.8728965517241378,29
2017-04-01,comments,0.2341764705882353,0.08994117647058823,0.04564705882352942,0.8643529411764705,17
2017-04-01,posts,-0.022300000000000007,0.07237931034482757,0.10462068965517242,0.8230689655172413,29
2017-05-01,comments,0.19462000000000002,0.11500000000000002,0.06760000000000002,0.8175000000000001,10
2017-05-01,posts,-0.04053043478260869,0.08039130434782607,0.1078695652173913,0.8116956521739133,23
2017-06-01,comments,0.26576,0.16839999999999997,0.0472,0.7844,5
2017-06-01,posts,0.08061111111111112,0.03927777777777777,0.048444444444444436,0.9122777777777777,18
2017-07-01,comments,0.1858,0.13966666666666666,0.0,0.8603333333333333,3
2017-07-01,posts,0.025475,0.03925,0.0710625,0.8896875,16
2017-08-01,comments,0.4932,0.1442,0.0166,0.8392,5
2017-08-01,posts,0.107648,0.08227999999999998,0.10123999999999998,0.81652,25
2017-09-01,comments,-0.3252,0.0,0.28,0.72,1
2017-09-01,posts,-0.09855294117647061,0.04229411764705883,0.05335294117647059,0.9042941176470588,17
2017-10-01,comments,0.37355,0.15366666666666665,0.0,0.8463333333333334,6
2017-10-01,posts,0.24055833333333335,0.050416666666666665,0.0014166666666666668,0.9482499999999999,12
2017-11-01,comments,-0.12028333333333334,0.020666666666666667,0.04833333333333333,0.931,6
2017-11-01,posts,0.2042086956521739,0.08199999999999999,0.02647826086956522,0.8914782608695653,23
2017-12-01,comments,0.056833333333333326,0.08233333333333333,0.07533333333333332,0.8423333333333334,3
2017-12-01,posts,0.07665862068965519,0.05503448275862069,0.05351724137931034,0.8914137931034483,29
2018-01-01,comments,-0.05574705882352941,0.11817647058823529,0.06370588235294117,0.8181764705882353,17
2018-01-01,posts,0.17348076923076924,0.10457692307692307,0.042115384615384624,0.8533461538461538,26
2018-02-01,comments,0.22465,0.11758333333333333,0.056416666666666664,0.826,12
2018-02-01,posts,0.2504272727272727,0.10736363636363637,0.04436363636363636,0.848318181818182,22
2018-03-01,comments,0.17257777777777777,0.10733333333333334,0.05000000000000001,0.8427777777777776,9
2018-03-01,posts,0.43674516129032276,0.1568709677419355,0.03067741935483871,0.8124516129032257,31
2018-04-01,comments,0.16734,0.0752,0.0252,0.8996000000000001,5
2018-04-01,posts,0.2591914285714286,0.11411428571428574,0.03345714285714286,0.8524285714285713,35
2018-05-01,comments,0.14586000000000002,0.1135,0.0174,0.8690000000000001,10
2018-05-01,posts,0.13715681818181819,0.064,0.023477272727272725,0.9125227272727273,44
2018-06-01,comments,0.13343333333333335,0.048666666666666664,0.16733333333333333,0.7839999999999999,3
2018-06-01,posts,0.17023000000000002,0.0443,0.0098,0.9457999999999999,20
2018-07-01,comments,0.08006666666666666,0.13325,0.05425,0.8123333333333335,12
2018-07-01,posts,0.25167500000000004,0.06358333333333333,0.08750000000000001,0.8490000000000001,12
2018-08-01,comments,0.36506500000000003,0.12350000000000001,0.03215,0.84435,20
2018-08-01,posts,0.17754583333333337,0.05558333333333334,0.063,0.8815000000000001,24
2018-09-01,comments,0.08804999999999999,0.136775,0.07865000000000003,0.7845749999999998,40
2018-09-01,posts,0.14078064516129032,0.07148387096774193,0.05506451612903226,0.8734838709677419,31
2018-10-01,comments,0.16124193548387095,0.12058064516129034,0.046612903225806454,0.8328064516129032,31
2018-10-01,posts,0.2566964285714286,0.09110714285714286,0.05199999999999999,0.8569285714285713,28
2018-11-01,comments,0.19150714285714285,0.108,0.034999999999999996,0.8570000000000001,14
2018-11-01,posts,0.2386,0.12175000000000001,0.05675,0.8215,12
2018-12-01,comments,0.06316111111111113,0.13255555555555554,0.06705555555555556,0.8002222222222222,18
2018-12-01,posts,0.33055454545454543,0.1165909090909091,0.05022727272727274,0.8331818181818181,22
2019-01-01,comments,0.12411621621621621,0.09786486486486487,0.05248648648648649,0.8495405405405404,37
2019-01-01,posts,0.1857288461538462,0.047192307692307686,0.04863461538461538,0.9042115384615383,52
2019-02-01,comments,0.2929690476190476,0.14359523809523805,0.0389047619047619,0.817452380952381,42
2019-02-01,posts,0.2307153846153846,0.08026923076923076,0.017730769230769234,0.9019423076923079,52
2019-03-01,comments,0.197166,0.13110000000000002,0.02982,0.8391200000000002,50
2019-03-01,posts,0.3233610169491526,0.059508474576271196,0.013406779661016952,0.9270847457627117,59
2019-04-01,comments,0.23108555555555554,0.13168888888888888,0.050288888888888904,0.8180444444444444,90
2019-04-01,posts,0.25872777777777783,0.0697037037037037,0.026666666666666665,0.9035370370370366,54
2019-05-01,comments,0.2221472222222221,0.13168055555555552,0.04111111111111111,0.8271944444444446,144
2019-05-01,posts,0.11921020408163265,0.06172448979591838,0.05188775510204081,0.8863673469387755,98
2019-06-01,comments,0.07229508196721311,0.10832786885245901,0.05908196721311475,0.8324918032786884,61
2019-06-01,posts,0.33652448979591837,0.09710204081632653,0.02806122448979592,0.8748367346938777,49
2019-07-01,comments,0.1928725,0.12988749999999996,0.054075000000000005,0.8159749999999997,80
2019-07-01,posts,0.28079722222222214,0.1092638888888889,0.03944444444444445,0.8512916666666669,72
2019-08-01,comments,0.11843970588235295,0.10939705882352942,0.05538235294117648,0.8352205882352943,68
2019-08-01,posts,0.16017755102040818,0.07144897959183673,0.06485714285714286,0.8637142857142858,49
2019-09-01,comments,0.005184090909090903,0.096,0.057022727272727274,0.8469318181818184,44
2019-09-01,posts,0.2600660377358491,0.10496226415094341,0.03816981132075472,0.8569245283018869,53
2019-10-01,comments,0.14752343749999997,0.10693749999999999,0.04003125000000001,0.8529843749999997,64
2019-10-01,posts,0.16555087719298248,0.06678947368421054,0.035789473684210524,0.8973859649122807,57
2019-11-01,comments,0.12590714285714288,0.1222738095238095,0.0482142857142857,0.829559523809524,84
2019-11-01,posts,0.294115,0.0733,0.039733333333333336,0.88695,60
2019-12-01,comments,0.18252881355932205,0.15233898305084748,0.05503389830508476,0.7925762711864409,59
2019-12-01,posts,0.4340057142857143,0.09259999999999999,0.01702857142857143,0.8904,35
2020-01-01,comments,0.24778219178082192,0.11327397260273973,0.03475342465753425,0.8519315068493153,73
2020-01-01,posts,0.17309315068493156,0.05410958904109589,0.02723287671232877,0.9186849315068494,73
2020-02-01,comments,0.12196444444444447,0.08253333333333332,0.06844444444444443,0.8490000000000003,90
2020-02-01,posts,0.3751142857142858,0.08268253968253966,0.034190476190476195,0.8830952380952379,63
2020-03-01,comments,0.08687636363636363,0.13633636363636364,0.07573636363636364,0.7878999999999998,110
2020-03-01,posts,0.18951290322580644,0.06749999999999999,0.04858064516129033,0.8839193548387098,62
2020-04-01,comments,0.1507279245283018,0.11538490566037735,0.06344905660377362,0.821184905660377,265
2020-04-01,posts,0.25257338129496393,0.08557553956834531,0.04485611510791368,0.8695755395683455,139
2020-05-01,comments,0.22194829545454553,0.12663636363636369,0.05924431818181819,0.8140625000000002,176
2020-05-01,posts,0.1937937984496124,0.07463565891472868,0.035689922480620154,0.8896744186046512,129
2020-06-01,comments,0.1190853846153847,0.11825769230769236,0.05653461538461537,0.8252038461538466,260
2020-06-01,posts,0.19050304568527926,0.07298984771573606,0.047258883248730975,0.8797157360406088,197
2020-07-01,comments,0.15773246073298436,0.1278376963350785,0.052209424083769634,0.8199528795811516,191
2020-07-01,posts,0.27174551724137935,0.08609655172413791,0.03526896551724139,0.8786068965517242,145
2020-08-01,comments,0.10043418803418802,0.09949572649572645,0.059581196581196566,0.8408803418803418,117
2020-08-01,posts,0.1971448979591837,0.08187074829931977,0.04115646258503402,0.8769659863945581,147
2020-09-01,comments,0.2144037037037037,0.12072222222222224,0.04248148148148148,0.8368148148148149,54
2020-09-01,posts,0.2203803921568629,0.07596078431372551,0.0402549019607843,0.883823529411765,102
2020-10-01,comments,0.14668981481481477,0.1071296296296296,0.06321296296296297,0.8296666666666667,108
2020-10-01,posts,0.1947128,0.07568000000000001,0.036888000000000004,0.8874399999999999,125
2020-11-01,comments,0.2235525252525253,0.1287676767676768,0.04267676767676768,0.8285555555555554,99
2020-11-01,posts,0.19186875000000003,0.06497916666666667,0.03252083333333333,0.9025416666666665,96
2020-12-01,comments,0.216081308411215,0.13939252336448604,0.04705607476635514,0.8135981308411214,107
2020-12-01,posts,0.31371134020618563,0.070659793814433,0.02642268041237112,0.9028865979381447,97
2021-01-01,comments,0.15561688888888883,0.12335999999999996,0.04487111111111112,0.8317822222222225,225
2021-01-01,posts,0.2608566037735849,0.06701886792452831,0.027805031446540864,0.9052201257861632,159
2021-02-01,comments,0.14379420289855072,0.1124830917874396,0.0491159420289855,0.8383913043478265,207
2021-02-01,posts,0.23068506493506502,0.06047402597402598,0.03161688311688311,0.9079350649350652,154
2021-03-01,comments,0.15454508547008533,0.1239615384615385,0.05456410256410255,0.8214722222222222,468
2021-03-01,posts,0.2377547892720307,0.0666704980842912,0.03738314176245211,0.895927203065134,261
2021-04-01,comments,0.175575680933852,0.11381712062256813,0.057470817120622526,0.8287042801556417,514
2021-04-01,posts,0.27358841059602673,0.0793741721854305,0.041778145695364255,0.8788443708609271,302
2021-05-01,comments,0.22986379310344826,0.14978275862068968,0.05267241379310349,0.7975241379310344,290
2021-05-01,posts,0.21638251366120226,0.05993442622950819,0.0322622950819672,0.9078196721311476,183
2021-06-01,comments,0.15634048780487814,0.12026341463414632,0.050848780487804876,0.8288634146341466,205
2021-06-01,posts,0.339135294117647,0.08194652406417109,0.042743315508021365,0.8753155080213907,187
2021-07-01,comments,0.14410647482014377,0.105068345323741,0.05219064748201438,0.842748201438849,278
2021-07-01,posts,0.23889883720930233,0.06718023255813949,0.027773255813953485,0.9050174418604654,172
2021-08-01,comments,0.18142787878787872,0.11504242424242428,0.04970606060606062,0.8352515151515156,330
2021-08-01,posts,0.31240796812749,0.07402390438247015,0.023195219123505965,0.902760956175299,251
2021-09-01,comments,0.2676794258373205,0.1323253588516746,0.03695693779904307,0.8307033492822963,209
2021-09-01,posts,0.2985368131868132,0.058142857142857156,0.02339560439560439,0.9184615384615386,182
2021-10-01,comments,0.2910695652173913,0.1623975155279503,0.03547826086956522,0.8021366459627326,161
2021-10-01,posts,0.20472650602409634,0.051006024096385556,0.027644578313253013,0.9213493975903615,166
2021-11-01,comments,0.20331284403669722,0.1473853211009174,0.04311009174311927,0.8095183486238533,218
2021-11-01,posts,0.2798491525423728,0.058468926553672335,0.030395480225988706,0.9110960451977399,177
2021-12-01,comments,0.15685508021390374,0.12562032085561503,0.05461497326203211,0.8197754010695187,187
2021-12-01,posts,0.29892352941176487,0.06247058823529412,0.025431372549019605,0.9121633986928103,153
2022-01-01,comments,0.22212517482517474,0.12673076923076929,0.03258741258741259,0.8406818181818175,286
2022-01-01,posts,0.282167619047619,0.06467142857142857,0.019947619047619047,0.9153523809523809,210
2022-02-01,comments,0.20919367088607604,0.15538396624472567,0.04727848101265823,0.7973206751054857,237
2022-02-01,posts,0.2707210526315789,0.06694258373205741,0.0279090909090909,0.9051339712918659,209
2022-03-01,comments,0.21332895752895767,0.16849806949806953,0.049249678249678255,0.7822496782496783,777
2022-03-01,posts,0.21487924944812364,0.06409933774834439,0.028719646799116996,0.9071766004415015,453
2022-04-01,comments,0.17992985347985332,0.13125091575091574,0.05158241758241758,0.8171703296703295,546
2022-04-01,posts,0.26524576719576703,0.07014814814814815,0.027394179894179888,0.9024365079365073,378
2022-05-01,comments,0.18931101449275337,0.13325507246376814,0.039136231884057966,0.8276000000000003,345
2022-05-01,posts,0.2921019083969465,0.07045038167938933,0.030935114503816783,0.898622137404581,262
2022-06-01,comments,0.20392658823529405,0.1194211764705882,0.03777411764705882,0.842828235294118,425
2022-06-01,posts,0.3469119453924916,0.07863139931740618,0.027907849829351527,0.8934436860068256,293
2022-07-01,comments,0.19991321184510244,0.12956492027334848,0.03668337129840547,0.8337630979498858,439
2022-07-01,posts,0.2989055555555555,0.0832679738562091,0.0322908496732026,0.8844477124183006,306
2022-08-01,comments,0.23205999999999968,0.14786336633663358,0.038570297029702945,0.8135425742574254,505
2022-08-01,posts,0.32256534954407295,0.08126443768996956,0.02645592705167173,0.892279635258359,329
2022-09-01,comments,0.2845895013123357,0.1430209973753281,0.028519685039370062,0.8284750656167981,381
2022-09-01,posts,0.32304391025641016,0.07268910256410258,0.0288974358974359,0.8983974358974363,312
2022-10-01,comments,0.17720210210210213,0.12560960960960957,0.043966966966966975,0.830417417417417,333
2022-10-01,posts,0.3267447580645161,0.07645564516129032,0.02252822580645161,0.9010201612903224,248
2022-11-01,comments,0.17099154929577462,0.12215492957746486,0.041264084507042255,0.8365845070422536,284
2022-11-01,posts,0.3244158333333338,0.07330416666666664,0.02934999999999999,0.8973375,240
2022-12-01,comments,0.18872429906542063,0.13453582554517132,0.04506230529595015,0.8204112149532707,321
2022-12-01,posts,0.2606152263374487,0.07795473251028806,0.030777777777777765,0.8912674897119344,243
2023-01-01,comments,0.21683645083932848,0.152928057553957,0.03680575539568347,0.8102565947242204,417
2023-01-01,posts,0.27802018072289153,0.07159638554216873,0.030716867469879516,0.8977259036144576,332
2023-02-01,comments,0.19239419475655423,0.11930711610486891,0.04114419475655429,0.8395486891385763,534
2023-02-01,posts,0.30095172413793114,0.07085344827586205,0.029290229885057466,0.8998706896551728,348
2023-03-01,comments,0.1514090857787815,0.13203160270880357,0.05630417607223472,0.8116676072234762,1772
2023-03-01,posts,0.19387990487514856,0.07340428061831154,0.039285374554102276,0.8873115338882286,841
2023-04-01,comments,0.12472900552486194,0.121270718232044,0.06409116022099441,0.8146415745856362,1448
2023-04-01,posts,0.16176891495601178,0.06324780058651024,0.04036510263929618,0.8963870967741937,682
2023-05-01,comments,0.13233178170144444,0.1348113964686999,0.06595746388443012,0.799229534510433,1246
2023-05-01,posts,0.17984772313296898,0.06481420765027318,0.04746994535519127,0.8877194899817846,549
2023-06-01,comments,0.17387203791469208,0.12079502369668252,0.05293838862559247,0.8262642180094782,844
2023-06-01,posts,0.24162922535211276,0.06616549295774644,0.029007042253521114,0.904860915492957,568
2023-07-01,comments,0.156409688888889,0.12982933333333346,0.049766222222222274,0.8204026666666662,1125
2023-07-01,posts,0.2670982905982905,0.08335327635327626,0.02720797720797721,0.8894430199430209,702
2023-08-01,comments,0.13851792799412202,0.12222924320352696,0.055855988243938295,0.8219162380602493,1361
2023-08-01,posts,0.24874700665188496,0.06724279379157429,0.03603325942350331,0.8967261640798218,902
2023-09-01,comments,0.17962484993997566,0.13285114045618254,0.04716086434573829,0.8199891956782706,833
2023-09-01,posts,0.29145146579804565,0.08512540716612382,0.03156514657980454,0.8832964169381112,614
2023-10-01,comments,0.2011021256931608,0.128655268022181,0.04805452865064698,0.8232957486136779,1082
2023-10-01,posts,0.32859971711456887,0.08339321074964647,0.03315275813295615,0.8834667609618096,707
2023-11-01,comments,0.17481873303167442,0.12032217194570122,0.043913122171945713,0.8357628959276018,1105
2023-11-01,posts,0.2461717391304348,0.07191176470588237,0.0322148337595908,0.8958580562659847,782
2023-12-01,comments,0.15856192170818545,0.1248868327402135,0.04908540925266898,0.826024911032028,1405
2023-12-01,posts,0.25264793187347945,0.07384063260340631,0.03505839416058394,0.8911046228710471,822
2024-01-01,comments,0.18136346782988036,0.12899781897491794,0.04700218102508181,0.8240027262813506,1834
2024-01-01,posts,0.3072094017094016,0.07188675213675218,0.029397435897435892,0.8987264957264963,936
2024-02-01,comments,0.1388330042313118,0.11934520451339896,0.054102256699576835,0.8265454866008471,2836
2024-02-01,posts,0.1844349022447502,0.05772773352643013,0.037052136133236754,0.9052302679217958,1381
2024-03-01,comments,0.1373415671424411,0.1271013690649575,0.049726187008447394,0.8231674919895131,3433
2024-03-01,posts,0.19836605248464484,0.07067504187604691,0.032963707426019,0.8963579006141832,1791
2024-04-01,comments,0.14683652694610766,0.11677245508982047,0.0590330767037354,0.8241938979184504,3507
2024-04-01,posts,0.21514211316975443,0.06680570856284433,0.034769153730595886,0.8984166249374066,1997
2024-05-01,comments,0.18464780219780236,0.11534415584415575,0.045465034965035,0.8391913086913091,2002
2024-05-01,posts,0.3149499108734402,0.07567736185383242,0.029068627450980388,0.8952513368983958,1122
2024-06-01,comments,0.19010752212389384,0.12472842920353974,0.04909734513274334,0.8261814159292025,1808
2024-06-01,posts,0.3527075024679173,0.0789615004935834,0.03046890424481734,0.8905695952615991,1013
2024-07-01,comments,0.18150256830601127,0.1204879781420766,0.04502295081967213,0.8344890710382509,1830
2024-07-01,posts,0.3516725820763091,0.07881366459627331,0.027102928127772832,0.8940763087843824,1127
2024-08-01,comments,0.17554315693430664,0.129011405109489,0.05174498175182486,0.8192440693430659,2192
2024-08-01,posts,0.3180086676217763,0.07407521489971333,0.02881375358166188,0.897106733524356,1396
2024-09-01,comments,0.1778578415736312,0.12832854864433818,0.04437692716640084,0.8272865497076022,1881
2024-09-01,posts,0.3480447039199334,0.08147456213511259,0.030124270225187627,0.888414512093411,1199
2024-10-01,comments,0.19298489057239018,0.1358935185185185,0.044533670033670036,0.8195782828282819,2376
2024-10-01,posts,0.3839323224261767,0.08766799680766159,0.03062809257781325,0.8816911412609726,1253
2024-11-01,comments,0.13776553119730187,0.12326711635750444,0.05738988195615504,0.8193396290050587,2965
2024-11-01,posts,0.35565883575883556,0.08185031185031182,0.03236867636867633,0.8857713097713109,1443
2024-12-01,comments,0.12558168266801378,0.12363062152602326,0.06525088428499239,0.811121273370389,3958
2024-12-01,posts,0.3585902737752164,0.08420028818443802,0.03637824207492797,0.8794193083573497,1388
2025-01-01,comments,0.15214208411465274,0.1197141709081171,0.05947200642914551,0.8208151620680396,3733
2025-01-01,posts,0.31000642035130216,0.08133555420956991,0.034744397334948496,0.8839327680193835,1651
2025-02-01,comments,0.16713920159680606,0.12782794411177656,0.04538602794411177,0.8267884231536919,2505
2025-02-01,posts,0.31700731865285015,0.07667422279792746,0.03448639896373063,0.8888354922279789,1544
2025-03-01,comments,0.16238322434607608,0.13159708249496985,0.04171001006036213,0.8266929074446688,3976
2025-03-01,posts,0.3239869827986984,0.08022268712226868,0.030296606229660652,0.8894797768479779,2151
2025-04-01,comments,0.1836125930721918,0.1316124959533829,0.0457720945289738,0.8226128196827459,3089
2025-04-01,posts,0.3511886510701836,0.07969785963165749,0.0349198606271777,0.8853807864609257,2009
2025-05-01,comments,0.17833913043478272,0.12414572384137615,0.04531772575250839,0.8305451505016715,2093
2025-05-01,posts,0.4146841836734692,0.08791034985422745,0.03,0.8821020408163261,1372
2025-06-01,comments,0.1804139069969575,0.12311125597566275,0.0459839200347674,0.8309109083007393,2301
2025-06-01,posts,0.3993943423952974,0.0856120499632622,0.032605437178545214,0.8817722263041885,1361
2025-07-01,comments,0.13748311859927342,0.11804129501156294,0.054558308556326374,0.8273977535513715,3027
2025-07-01,posts,0.3729049257759776,0.08494197031039134,0.033566801619433206,0.8814871794871789,1482
2025-08-01,comments,0.1330770326615704,0.1138547602501736,0.05821959694232107,0.8279246004169555,2878
2025-08-01,posts,0.376532265446224,0.08423951182303585,0.03331960335621665,0.8824378337147214,1311
2025-09-01,comments,0.11008125797841452,0.12519252640129985,0.07033561564349522,0.8044739468492483,8617
2025-09-01,posts,0.16177767880534466,0.07993057374901749,0.05235472884464233,0.8677183652082776,3817
2025-10-01,comments,0.1452362749445679,0.134848780487805,0.0466736141906874,0.8184864745011096,2255
2025-10-01,posts,0.33586193905817113,0.08740332409972298,0.031015512465373984,0.881567867036012,1805
2025-11-01,comments,0.15663966315789485,0.1265903157894737,0.04287663157894738,0.8305326315789472,2375
2025-11-01,posts,0.3897298369950388,0.08515804394046779,0.029858256555634288,0.8849709425939046,1411
2025-12-01,comments,0.12019467750393294,0.11305663345568967,0.05102857891976934,0.8359132144729944,3814
2025-12-01,posts,0.2909918235294117,0.07739705882352946,0.032845294117647056,0.8897594117647047,1700
2026-01-01,comments,0.1429915949702184,0.12085539377895438,0.04903441429516878,0.8301095301125077,3022
2026-01-01,posts,0.3074728712871283,0.07756303630363034,0.03880858085808584,0.8836369636963697,1515
2026-02-01,comments,0.14974744394618855,0.11735067264573991,0.0530910313901345,0.8295542600896877,2230
2026-02-01,posts,0.3146636003172084,0.07641316415543206,0.03365503568596356,0.8899238699444888,1261
2026-03-01,comments,0.1267226609236662,0.12156903565446293,0.04761474036850927,0.830818138310601,4179
2026-03-01,posts,0.2019032387045181,0.06319632147141144,0.030644942023190746,0.9061575369852058,2501
2026-04-01,comments,0.13792959641255614,0.12201434977578485,0.0475883408071749,0.8303955156950675,1115
2026-04-01,posts,0.16193847203274211,0.05896043656207369,0.03666984993178718,0.9043751705320601,733
